model,validation_records,validation_MAE,validation_RMSE,validation_R2,validation_WAPE,test_records,test_MAE,test_RMSE,test_R2,test_WAPE,validation_train_seconds,validation_inference_seconds,test_train_seconds,test_inference_seconds
Ridge,616,29.924017935888923,36.462713220452336,0.32674821550409683,6.209421758309743,189,30.368034241872486,38.67374989445137,0.3751099835973285,5.904348848063349,0.1703547540237195,0.3790291962795891,0.0465657501481473,0.102741758164484
Gradient Boosting,616,30.58937596697703,36.84585082116751,0.3125252866470586,6.347487730738853,189,30.305500506185197,37.72178547263679,0.40549501670675103,5.8921906363289445,23.494706536119335,0.3484401026507839,8.222103461099323,0.104891377792228
Random Forest,616,31.995156183459986,38.5538453846452,0.2473120688805296,6.639195959304027,189,31.64220249338312,39.410370667645026,0.35107865936446603,6.152080847708969,33.70422741601942,22.182740184944123,11.54144208296202,6.349166918313131
Baseline,616,37.086396103896114,46.324367777661045,-0.08667218690154233,7.695660235139655,189,34.226613756613744,44.67868898262738,0.16598884454900242,6.654558734273575,0.0,0.0211327080032788,0.0,0.0077772500226274
