model_name,evaluation_start,evaluation_end,horizon_days,mae,rmse,r2,wape,train_seconds,inference_seconds,seed
Ridge,2024-12-01,2024-12-30,7,30.368034241872486,38.67374989445137,0.3751099835973285,5.904348848063349,0.0465657501481473,0.102741758164484,42
Gradient Boosting,2024-12-01,2024-12-30,7,30.305500506185197,37.72178547263679,0.405495016706751,5.8921906363289445,8.222103461099323,0.104891377792228,42
Random Forest,2024-12-01,2024-12-30,7,31.64220249338312,39.410370667645026,0.351078659364466,6.152080847708969,11.54144208296202,6.349166918313131,42
Baseline,2024-12-01,2024-12-30,7,34.226613756613744,44.67868898262738,0.1659888445490024,6.654558734273575,0.0,0.0077772500226274,42
